id,Desk,Commodity,Trader Name,Trader Email,Quantity
acd65293-2e99-5186-84c8-f146a5ed1c63,D-832,Sugar No.14,Mabelle Bryan,pamzug@jotmeid.tf,"34,996"
e6975ef8-26f0-595d-94fd-13659a133a72,D-72,Soybean Oil,Teresa Jimenez,wohper@bugtu.lb,"96,615"
fed624a7-2824-5ce3-b230-2964fad72707,D-6858,Wheat,Lola Shaw,owolovos@oharugfe.com,"77,478"
0fbfcd8f-6cc1-5537-acac-efce7746f465,D-1566,Adzuki bean,Richard Gutierrez,suoli@elcum.cx,"34,729"
d068f74a-695b-5261-abd2-7c9f56fed9ae,D-1912,Wheat,Lizzie Hawkins,ba@kunlu.gn,"68,785"
b9c1fda1-94c6-55e1-bec1-25c5c5f3a1ad,D-2392,Soybean Meal,Josie Glover,nizot@bos.nl,"22,433"
33d07c73-74b4-5da0-a245-4c71d21b83e0,D-7090,Adzuki bean,Mabel Osborne,huv@nu.az,"29,452"
b7519b7d-8b3c-596b-bdbb-62f5ec97c4f0,D-8651,Rapeseed,Alta Lopez,lerisalu@jijco.net,"96,050"
c5d1a3aa-8177-550d-9b33-80e27743ebd8,D-9442,Rough Rice,Gavin Miller,iru@unitubok.tp,"65,093"
29652749-e887-57f1-86d0-3d92518cdd71,D-5643,Soybean Oil,Jeffrey Smith,simnaw@ronuzne.mr,"21,661"
0d42c7aa-3517-5f6b-ad70-0a0271f4a54f,D-8909,Frozen Concentrated Orange Juice,Mabelle Kelley,sogawzu@so.gp,"67,518"
73c9ebf5-8c8f-51fe-9a62-15a7df223b8f,D-5285,Coffee C,Allie Christensen,siogmav@bobid.mt,"77,953"
19a1ba16-c8f0-59f0-9e88-2631c4a6d791,D-4717,Sugar No.11,Joe Griffith,ku@gubse.my,"72,914"
fa42f5d8-3bc6-5df7-ad8a-436874c385e7,D-4103,Wheat,Leila Kennedy,tudofja@cimfe.pg,"48,876"
0fff9903-655e-59d6-b286-beca05ad98e2,D-5614,Rapeseed,Trevor Newton,leb@osoec.tf,"3,118"
984f312c-05c6-5225-a98f-662d1d0cfba6,D-4217,Rapeseed,Grace Pierce,latrosot@bu.gh,"39,778"
3e389eeb-a3be-5451-83be-f3d2e036b2de,D-9147,Robusta coffee,Josephine Cannon,ecofuovo@bus.kw,"28,264"
bb43e0a2-11fd-58b1-a93c-0a9d2d4a6f13,D-919,Oats,Vera Patton,ufohaapa@ecidetu.ar,"50,203"
e1bb4aea-1df4-591a-a746-ecf131bf2216,D-4643,Oats,Johanna Barrett,dotievu@kibagli.va,"55,153"
5e443f49-9a16-5616-bc1a-3afb1e851a06,D-4238,Rough Rice,Danny Miles,go@viemu.il,"4,692"
719d28c5-6dd9-5b52-9ca6-5f9a17d19b9a,D-9469,Adzuki bean,Genevieve Stevenson,goz@hi.sx,"19,513"
9f93af0b-9271-56ae-b3a8-8b2b7c0f7c36,D-9608,Soybean Meal,Josephine Perez,rijgile@datvizgow.my,"42,134"
f3056763-c85b-5f33-b044-49c3ec265019,D-4013,Soybeans,Glen Bell,gez@buna.mw,"79,745"
17372915-08ba-551c-84bc-874332f8151d,D-4173,Sugar No.14,Olga Obrien,savasa@akeihuda.yt,"16,899"
a84b3253-ef0c-51eb-9739-6d397351f0b3,D-8855,Corn,Ida Santiago,sirunci@on.im,"30,868"
1bc4f673-3c0b-56d4-a0cb-beb8593b0fd7,D-1082,Wheat,Ray Tyler,pucih@bok.af,"88,635"
69c3a94f-12b7-5c51-a828-e0a5ac31ebf8,D-7760,Robusta coffee,Joseph Parsons,wen@cag.mp,"29,700"
afaa8640-c1e6-5712-b3ed-a1c518c989b8,D-9481,Frozen Concentrated Orange Juice,Mamie Vargas,zi@evebelmem.bt,"64,222"
514fcb32-d851-5dff-a3f3-88505b2e3e08,D-2045,Cocoa,Norman Cross,timebo@ha.dz,"89,982"
8f5a6c21-098d-529d-ad63-e168e58f15f3,D-4759,Oats,Nathaniel Barrett,umlahvis@tuwpi.fi,"15,721"
83e64f42-4227-5a10-acf9-fbf955c47630,D-9372,Cotton No.2,Genevieve Jones,bec@ija.aq,"8,464"
59f7cfb4-8001-513f-8027-5dfac8437b24,D-9973,Cocoa,Rachel Gregory,fisifpez@ru.va,"18,938"
ba254bdc-0a76-5e19-81ed-81a8cb2416f1,D-1727,Soybean Meal,Nathan Barker,un@aha.gw,"30,264"
83674c07-0f34-5eec-a0e9-62c8f3d180af,D-9289,Rapeseed,Nettie Kennedy,beise@biv.nc,"1,386"
8ca8b898-b594-59e7-afe7-a5f29cde18c2,D-4463,Adzuki bean,David Beck,gozjok@atot.pa,"51,708"
5987a8ca-16a1-56c6-b818-cfedcc0df265,D-3825,Frozen Concentrated Orange Juice,Daisy Hall,li@comukeda.sr,"73,785"
56903642-4d04-5abf-88c6-7634039d8be7,D-8635,Oats,Garrett Larson,zas@juzotaco.jm,"6,138"
c3bc5169-04dd-5f69-bba2-067ae70be4c1,D-7971,Adzuki bean,Ruth Gibbs,riz@zeuf.gg,"24,562"
50b1c0af-1c57-5413-88a4-12fe17c6bfc1,D-1247,Sugar No.14,Aiden Ballard,uzin@cesef.tz,"67,142"
cc6c284f-482b-5085-85e9-cfb580ec9f5c,D-3373,Milk,Cody Goodwin,evvi@de.bf,"76,567"
129ecc68-34b8-5a9d-9836-93835614f130,D-1803,Sugar No.11,Bernice Hill,co@vi.tn,"89,358"
7b18bdc7-1657-5c2c-bc0c-ceb0f075146e,D-1656,Adzuki bean,Roger Ingram,jec@pag.nz,"34,422"
017fb48c-5165-5f50-936e-b5569594c385,D-7205,Adzuki bean,Mayme Reynolds,otodeav@cu.dm,"6,613"
c5eb164c-9363-55bb-b70d-7da7da4ffbd3,D-8013,Rough Rice,Lura Howard,naludo@mup.je,"28,561"
c61457ed-991d-5264-aa0b-ac8cade01b1d,D-2813,Cotton No.2,Brian Foster,venarber@fuigi.to,"99,951"
14f69048-b508-5137-ae62-d7c526048776,D-4485,Sugar No.11,Jonathan Joseph,su@ritejnu.so,"50,351"
73cfcd1d-df18-5976-923c-d08da5d5c7b2,D-8708,Corn,Esther Klein,vehsikku@bin.se,"99,694"
dacac524-0886-5ef3-8206-d6a2a30a1ccf,D-2042,Coffee C,Emily Soto,wualo@sulkih.ga,"32,422"
b1c18fd8-3a41-5522-8cc7-e61ca49ad8b3,D-7501,Oats,Lida Garrett,da@fiwive.ba,"36,917"
7ebeb72f-7d7f-56d9-b1d8-412c7643da35,D-1727,Sugar No.11,Walter Richardson,epo@cuga.ie,"98,545"
a5b22f32-2a4e-5269-b46b-3770f0479735,D-6563,Sugar No.14,Barry Moore,bahvowel@di.vc,"6,346"
bb731399-cfa1-5558-bddb-6aac9502f291,D-5352,Rapeseed,Bess Hale,fac@uwinavi.bn,"73,250"
2974bd1c-3074-54b9-8bce-2c88175960f5,D-3801,Adzuki bean,Gilbert Peterson,wujdanawo@vu.vc,"25,047"
abe4858c-e5f3-58e3-b0e8-6533f850d38c,D-3623,Soybean Oil,Sally Daniels,umu@dozozi.tv,"22,206"
bc62764d-96d3-501e-abae-63b08b29a90b,D-3417,Cotton No.2,Vernon James,imivig@vuvponmod.fm,"30,234"
2820020c-293f-5ad6-b151-ead5e109c251,D-8530,Rapeseed,Maude Holloway,avo@ud.np,"13,236"
b5d9f637-22ce-562f-8bfe-30d7d43ee5dd,D-4443,Soybean Oil,Lora Klein,gag@unazu.al,"98,110"
02d5d470-7eae-56df-8277-85ac1d7e6156,D-5389,Adzuki bean,Katherine Snyder,wohkepgo@nim.st,"8,573"
b370bec1-ab5d-56e6-89ba-e378a54e7e81,D-3616,Soybean Meal,Inez Guzman,sisine@ez.gs,"89,793"
7306cf00-e123-58a4-af00-d4ed2e7693db,D-9030,Coffee C,Jerry Morton,odgeczo@te.hu,"60,648"
9159702f-8d77-5aac-958e-5def3ae146a4,D-9788,Sugar No.14,Eugene Shelton,domilas@iwucocam.sy,"76,468"
2c4413a5-06b4-5441-a4de-0a0d2ca1f673,D-9112,Cotton No.2,Jose Schwartz,ju@couma.sd,"92,476"
d4b7eecd-9338-5156-a9e6-7e7460674bf1,D-8714,Soybeans,Corey Nelson,cu@golwi.na,"20,889"
dee74d25-9334-5c8e-80ff-5c3b090540e5,D-7442,Cotton No.2,Rosa Webster,gorwo@resce.org,"18,770"
c50f8c22-1d7f-5edd-996f-41b9735a91a9,D-145,Rapeseed,Marian Shaw,utewig@vi.tw,"67,825"
